sample_name	PC1	PC2	module
MLL_00003	-2.8806889799980975	-2.919928334763857	Mod0 (grey)
MLL_00009	0.8097524282063789	-0.07941043147597246	Mod0 (grey)
MLL_09939	6.445084114868654	1.780075621807391	Mod0 (grey)
MLL_09941	2.664049882775098	8.116403731650944	Mod0 (grey)
MLL_09942	-2.106618774476362	-2.9280853505940154	Mod0 (grey)
MLL_09946	-6.751537962970933	2.852869022907981	Mod0 (grey)
MLL_09947	0.9646893212725718	1.0704731415435762	Mod0 (grey)
MLL_09949	-1.6049293540598994	-4.126725538098562	Mod0 (grey)
MLL_09950	-3.076050463197363	-0.4290300221840841	Mod0 (grey)
MLL_09951	2.8481611119117116	-0.6281070389848191	Mod0 (grey)
MLL_09954	8.997989811882862	-0.7915069669032592	Mod0 (grey)
MLL_10113	0.47543332113577813	0.26755947023560267	Mod0 (grey)
MLL_10114	-1.0937578338731133	2.7920786770804114	Mod0 (grey)
MLL_10334	6.019138050479153	-3.2621453184685696	Mod0 (grey)
MLL_10335	8.55432934726173	0.08629443014248378	Mod0 (grey)
MLL_10337	-2.9311772230312445	-4.284298143565673	Mod0 (grey)
MLL_10339	13.436478325488284	-2.7236127312483336	Mod0 (grey)
MLL_10341	-7.144503569825972	5.8545437306156485	Mod0 (grey)
MLL_10342	-0.6249363671024838	-2.791396618106482	Mod0 (grey)
MLL_10343	2.9041378737174677	-6.850427126145355	Mod0 (grey)
MLL_10604	1.212666432702688	-0.3500039344128488	Mod0 (grey)
MLL_10661	-0.2754585388786172	-1.320128860211796	Mod0 (grey)
MLL_10663	7.257191513728608	-1.0064215258082676	Mod0 (grey)
MLL_10694	-2.0457732097451924	2.9304138380004146	Mod0 (grey)
MLL_10702	1.8417418341766196	-2.7460163301110474	Mod0 (grey)
MLL_10709	2.6892059018153773	4.730666476588972	Mod0 (grey)
MLL_10711	5.741808046459785	-7.130325890523932	Mod0 (grey)
MLL_10712	-5.644652300362818	-1.4448077960370798	Mod0 (grey)
MLL_10713	6.662071278426982	-2.2868244082242555	Mod0 (grey)
MLL_10716	-0.32857605370583803	7.404930605208965	Mod0 (grey)
MLL_10720	-1.739981966917665	8.417628401720906	Mod0 (grey)
MLL_10721	-10.857800376869644	2.0500139806931537	Mod0 (grey)
MLL_10722	-8.32452207511937	2.9809630030337875	Mod0 (grey)
MLL_10724	0.26269487282392623	0.489531248656781	Mod0 (grey)
MLL_10731	1.7066034581860783	9.380269952969696	Mod0 (grey)
MLL_10732	-0.8024010060424973	-0.18421269645463298	Mod0 (grey)
MLL_10733	-1.5481692957347304	-4.226941637367061	Mod0 (grey)
MLL_10734	0.03589910661968045	8.594408825455737	Mod0 (grey)
MLL_10735	0.43233623989724074	7.278728583242034	Mod0 (grey)
MLL_10736	4.489570535833095	0.5815896685261889	Mod0 (grey)
MLL_10737	0.25684061012205756	-0.5744107785516598	Mod0 (grey)
MLL_10741	2.0544051864310138	-0.7711356611868982	Mod0 (grey)
MLL_10742	-0.23740176824378198	0.7340455839893508	Mod0 (grey)
MLL_10743	2.5773891375499556	3.135987682011613	Mod0 (grey)
MLL_10745	0.18969156670748624	-0.40953365750839577	Mod0 (grey)
MLL_10747	4.058993904043422	-7.42578135821527	Mod0 (grey)
MLL_10748	-1.8383524733682235	-0.5602235813978143	Mod0 (grey)
MLL_10749	-0.6696715619897595	2.838648802740392	Mod0 (grey)
MLL_10750	0.45838612264459233	2.500616614488361	Mod0 (grey)
MLL_10751	0.07418655089476306	2.883689781335577	Mod0 (grey)
MLL_10753	-5.271964899435869	-1.4835305765199789	Mod0 (grey)
MLL_10755	0.6581183047202869	5.000498452956231	Mod0 (grey)
MLL_10756	6.078693130137532	-9.575922844172657	Mod0 (grey)
MLL_10757	-7.425242928989733	1.2584755375167507	Mod0 (grey)
MLL_10758	-0.8335494981917103	4.990912201310496	Mod0 (grey)
MLL_10762	-7.703057747312198	-1.1315068141600606	Mod0 (grey)
MLL_10763	-1.8686859693974502	0.7909726114849918	Mod0 (grey)
MLL_10766	4.555523027519209	-8.662626022167498	Mod0 (grey)
MLL_10768	-2.6768031909885557	5.262381538422542	Mod0 (grey)
MLL_10771	-1.8229756092634983	2.377433584594558	Mod0 (grey)
MLL_10772	6.1270718983499295	3.388872381783396	Mod0 (grey)
MLL_10773	4.661628090678868	-2.666979204480199	Mod0 (grey)
MLL_10775	-0.39831047206255554	2.520811943308835	Mod0 (grey)
